,,,,,,,,,,,,,,,
,,,[Field] 2024 OKRs,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Breakdown of Team Goals,,,,,,,,,,,Responsible Person,,Data,
,Objective and Key Results,,Mexico,,Colombia,,Peru,,Costa Rica,,Weight,Owner,Support,Definition,Data Parameter
,,,"Baseline 
(23')","Target 
(24')","Baseline 
(23')","Target 
(24')","Baseline 
(23')","Target 
(24')","Baseline 
(23')","Target 
(24')",,,,,
,Farming BDMs SME,,,,,,,,,,100.0%,,,,
,Objective 1: Overall Result,,,,,,,,,,30.0%,,,,
,OKR 1.1,Daily Orders SME,89.1 k,111.0 k,10.6 k,15.2 k,2.5 k,2.9 k,2.0 k,2.3 k,30.0%,,,Daily Orders,Avg full year
,Objective 2: Selection,,,,,,,,,,20.0%,,,,
,KR 2.1,Acquire high-order potential restaurants in mid and low range,-,-,-,-,-,-,-,-,,,,,
,a),SME Daily Orders for Rs FO in current year,"10,022",TBD,"2,446",TBD,"1,697",TBD,225,TBD,5.0%,,,Orders contributed for Rs with less than 60 days in the platform ,Q4
,KR 2.2,SME # of R1s  (5+ Daily Orders),-,-,-,-,-,-,-,-,,,,,
,a),SME # of R1s  (5+ Daily Orders),"4,360",TBD,532,TBD,102,TBD,75,TBD,15.0%,,,#of R1s(5+ Daily Orders),Q4
,Objective 3: Affordability,,,,,,,,,,35.0%,,,,
,KR 3.1,Develop Killer Items *,-,-,-,-,-,|-,-,-,,,,,
,a),# of Killer Items SME  (20 Daily Orders),TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,20.0%,,,TBD,TBD
,KR 3.3,Promotional Coverage,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,5.0%,,,Promotional coverage (Nominal # of Rs accepted),TBD
,KR 3.4,Promotion quality,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,5.0%,,,% of top 3 items with promotion (Offer) Co-Subs (2 weeks of the month),TBD
,KR 3.4,Subsidy negotiation,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,5.0%,,,Lower subsidy during the year: (Original subsidy - Signed subsidy) (Offer) (Co-Subs),TBD
,Objective 4: Team,,,,,,,,,,15.0%,,,,
,KR 4.1,eNPS,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,5.0%,,,TBD,TBD
,KR 4.2,Field BD Organization,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,10.0%,,,TBD,TBD
,,,,,,,,,,,,,,,
,Farming BDMs CKA,,,,,,,,,,100.0%,,,,
,Objective 1: Overall Result,,,,,,,,,,30.0%,,,,
,OKR 1.1,Daily Orders CKA,52.6 k,66.0 k,10.1 k,15.1 k,1.2 k,1.5 k,2.5 k,3.1 k,30.0%,,,Daily Orders,Avg full year
,Objective 2: Selection,,,,,,,,,,20.0%,,,,
,KR 2.1,Acquire high-order potential restaurants in mid and low range,-,-,-,-,-,-,-,-,,,,,
,a),CKA Daily Orders for Rs FO in current year,"6,855",TBD,"2,427",TBD,722,TBD,435,TBD,5.0%,,,Orders contributed for Rs with less than 60 days in the platform ,Q4
,KR 2.2,CKA # of R1s  (5+ Daily Orders),-,-,-,-,-,-,-,-,,,,,
,a),CKA # of R1s  (5+ Daily Orders),"1,945",TBD,459,TBD,62,TBD,80,TBD,15.0%,,,#of R1s(5+ Daily Orders),Q4
,Objective 3: Affordability,,,,,,,,,,25.0%,,,,
,KR 3.1,Develop Killer Items *,-,-,-,-,-,-,-,-,,,,,
,a),# of Killer Items CKA  (20 Daily Orders),TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,15.0%,,,TBD,TBD
,KR 3.3,Promotional Coverage,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,5.0%,,,Promotional coverage (Nominal # of Rs accepted),TBD
,KR 3.4,Promotion quality,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,5.0%,,,% of top 3 items with promotion (Offer) Co-Subs (2 weeks of the month),TBD
,Objective 4: Experience,,,,,,,,,,10.0%,,,,
,KR 4.1,B cancellation rate,-,-,-,-,-,-,-,-,,,,,
,a),CKAs B cancellation rate,1.30%,TBD,TBD,TBD,TBD,TBD,TBD,TBD,5.0%,,,CKA B-duty cancellations over total orders,Avg full year
,KR 4.2,Imperfect orders,-,-,-,-,-,-,-,-,,,,,
,a),CKAs imperfect orders,1.90%,TBD,TBD,TBD,TBD,TBD,TBD,TBD,5.0%,,,CKA Wrong food / Missing item over total orders,Avg full year
,Objective 5: Team,,,,,,,,,,15.0%,,,,
,KR 5.1,eNPS,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,5.0%,,,TBD,TBD
,KR 5.2,Field BD Organization,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,10.0%,,,TBD,TBD
,,,,,,,,,,,,,,,
,Hunting BDMs SME,,,,,,,,,,100.0%,,,,
,Objective 1: Overall Result,,,,,,,,,,30.0%,,,,
,OKR 1.1,Daily Orders SME,52.6 k,66.0 k,10.1 k,15.1 k,1.2 k,1.5 k,2.5 k,3.1 k,30.0%,,,Daily Orders,Avg full year
,Objective 2: Selection,,,,,,,,,,50.0%,,,,
,KR 2.1,Acquire high-order potential restaurants in mid and low range,-,-,-,-,-,-,-,-,,,,,
,,,"6,855",TBD,"2,427",TBD,722,TBD,435,TBD,25.0%,,,Orders contributed for Rs with less than 60 days in the platform ,Q4
,b),SME Total Rs Acquired (By BDs),TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,10.0%,,,Sum of all Rs +4 orders acquired in 2024 by BDs,Full year
,c),SME 45+ Orders Rs / RTBO Rs (60 days),TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,10.0%,,,Rs that complete 45 orders before day 60 over all the RTBO Rs ,Full year
,KR 2.2,SME # of R1s  (5+ Daily Orders),-,-,-,-,-,-,-,-,,,,,
,a),SME # of R1s  (5+ Daily Orders),"1,945",TBD,459,TBD,62,TBD,80,TBD,5.0%,,,#of R1s(5+ Daily Orders),Q4
,Objective 3: Affordability,,,,,,,,,,5.0%,,,,
,KR 3.1,Develop Killer Items *,-,-,-,-,-,-,-,-,,,,,
,a),# of Killer Items SME  (20 Daily Orders),TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,5.0%,,,TBD,TBD
,Objective 4: Team,,,,,,,,,,15.0%,,,,
,KR 4.1,eNPS,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,5.0%,,,TBD,TBD
,KR 4.2,Field BD Organization,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,10.0%,,,TBD,TBD
,,,,,,,,,,,,,,,
,Hunting BDMs CKA,,,,,,,,,,100.0%,,,,
,Objective 1: Overall Result,,,,,,,,,,30.0%,,,,
,OKR 1.1,Daily Orders CKA,TBD,,NA,NA,NA,NA,NA,NA,30.0%,,,Daily Orders,Avg full year
,Objective 2: Selection,,,,,,,,,,50.0%,,,,
,KR 2.1,Acquire high-order potential restaurants in mid and low range,-,-,-,-,-,-,-,-,,,,,
,a),CKA Total Rs Acquired (By BDs),TBD,TBD,NA,NA,NA,NA,NA,NA,10.0%,,,Sum of all Rs +4 orders acquired in 2024 by BDs,Full year
,b),Quality of Rs acquired,TBD,TBD,NA,NA,NA,NA,NA,NA,10.0%,,,TBD,Full year
,KR 2.2,CKA # of R1s  (5+ Daily Orders),-,-,-,-,-,-,-,-,,,,,
,a),CKA # of R1s  (5+ Daily Orders),,TBD,NA,NA,NA,NA,NA,NA,5.0%,,,#of R1s(5+ Daily Orders),Q4
,KR 2.3,Sign up exclusive VFM CKA Rs ,TBD,TBD,NA,NA,NA,NA,NA,NA,10%,,,# of exclusitives VFM closed,Full year
,Objective 3: Affordability,,,,,,,,,,5.0%,,,,
,KR 3.1,Develop Killer Items *,-,-,-,-,-,-,-,-,,,,,
,a),# of Killer Items CKA  (20 Daily Orders),TBD,TBD,NA,NA,NA,NA,NA,NA,5.0%,,,TBD,TBD
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Objective 4: Team,,,,,,,,,,15.0%,,,,
,KR 4.1,eNPS,TBD,TBD,NA,NA,NA,NA,NA,NA,10.0%,,,TBD,TBD
,KR 4.2,Field BD Organization,TBD,TBD,NA,NA,NA,NA,NA,NA,5.0%,,,TBD,TBD
,,,,,,,,,,,,,,,
,Hybrid BDMs SME ,,,,,,,,,,100.0%,,,,
,Objective 1: Overall Result,,,,,,,,,,30.0%,,,,
,OKR 1.1,Daily Orders SME,,,NA,NA,NA,NA,NA,NA,30.0%,,,Daily Orders,Avg full year
,Objective 2: Selection,,,,,,,,,,30.0%,,,,
,KR 2.1,Acquire high-order potential restaurants in mid and low range,-,-,-,-,-,-,-,-,,,,,
,b),SME  Total Rs Acquired (By BDs),TBD,TBD,NA,NA,NA,NA,NA,NA,10.0%,,,Sum of all Rs +4 orders acquired in 2024 by BDs,Full year
,c),Quality of Rs acquired,TBD,TBD,NA,NA,NA,NA,NA,NA,10.0%,,,TBD,Full year
,KR 2.2,SME # of R1s  (5+ Daily Orders),-,-,-,-,-,-,-,-,,,,,
,a),SME  # of R1s  (5+ Daily Orders),,TBD,NA,NA,NA,NA,NA,NA,10.0%,,,#of R1s(5+ Daily Orders),Q4
,Objective 3: Affordability,,,,,,,,,,25.0%,,,,
,KR 3.1,Develop Killer Items *,-,-,-,-,-,-,-,-,,,,,
,a),# of Killer Items SME (20 Daily Orders),TBD,TBD,NA,NA,NA,NA,NA,NA,10.0%,,,TBD,TBD
,KR 3.2,Promotional Coverage,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,5.0%,,,Promotional coverage (Nominal # of Rs accepted),TBD
,KR 3.3,Promotion quality,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,5.0%,,,% of top 3 items with promotion (Offer) Co-Subs (2 weeks of the month),TBD
,KR 3.4,Subsidy negotiation,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,5.0%,,,Lower subsidy during the year: (Original subsidy - Signed subsidy) (Offer) (Co-Subs),TBD
,Objective 4: Team,,,,,,,,,,15.0%,,,,
,KR 4.1,eNPS,TBD,TBD,NA,NA,NA,NA,NA,NA,10.0%,,,TBD,TBD
,KR 4.2,Field BD Organization,TBD,TBD,NA,NA,NA,NA,NA,NA,5.0%,,,TBD,TBD