Farming BDMs SME,bertinmendozamendoza,,,,,,,,,100.0%,,,,
Objective 1: Overall Result,,,,,,,,,,30.0%,,,,
OKR 1.1,Daily Orders SME,2893.22134305671,3691.3513687275267,0,0,0,0,0,0,30.0%,,,Daily Orders,Avg full year
Objective 2: Selection,,,,,,,,,,20.0%,,,,
KR 2.1,Acquire high-order potential restaurants in mid and low range,-,-,-,-,-,-,-,-,,,,,
a),SME Daily Orders for Rs FO in current year,0.41734844769680257,0.7242590503235672,0,0,0,0,0,0,5.0%,,,Orders contributed for Rs with less than 60 days in the platform,Q4
KR 2.2,SME # of R1s  (5+ Daily Orders),-,-,-,-,-,-,-,-,,,,,
a),SME # of R1s  (5+ Daily Orders),0.19966005784306268,0.2916549585204353,0,0,0,0,0,0,15.0%,,,#of R1s(5+ Daily Orders),Q4
Objective 3: Affordability,,,,,,,,,,35%,,,,
KR 3.3,Promotional Coverage,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"17,50%",,,Promotional coverage (Nominal # of Rs accepted),TBD
KR 3.4,Promotion quality,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,"17,50%",,,% of top 3 items with promotion (Offer) Co-Subs (2 weeks of the month),TBD
